Name,RouteName,PassengerCount
駒込駅,ＪＲ山手線,94980
勝どき駅,都営地下鉄大江戸線,93798
巣鴨駅,都営地下鉄三田線,92991
羽田空港駅,京浜急行空港線,92454
新御茶ノ水駅,東京メトロ千代田線,91798
明治神宮前駅,東京メトロ千代田線,91026
明大前駅,京王電鉄京王線,91026
大手町駅,都営地下鉄三田線,90776
市ケ谷駅,都営地下鉄新宿線,89429
神保町駅,東京メトロ半蔵門線,89223
阿佐ケ谷駅,ＪＲ中央本線,88596
目黒駅,都営地下鉄三田線,88327
田端駅,ＪＲ東北本線,88310
日本橋駅,都営地下鉄浅草線,87579
新橋駅,都営地下鉄浅草線,87369
赤坂駅,東京メトロ千代田線,86518
成城学園前駅,小田急電鉄小田原線,86518
西荻窪駅,ＪＲ中央本線,84804
北千住駅,つくばエクスプレス,83700
大泉学園駅,西武鉄道池袋線,83628
半蔵門駅,東京メトロ半蔵門線,83266
赤羽岩淵駅,東京メトロ南北線,80742
亀有駅,ＪＲ常磐線,80542
東銀座駅,東京メトロ日比谷線,80141
門前仲町駅,都営地下鉄大江戸線,80043
荻窪駅,東京メトロ丸ノ内線,79771
新大久保駅,ＪＲ山手線,79258
大井町駅,東京臨海高速鉄道りんかい線,79200
東中野駅,ＪＲ中央本線,79108
人形町駅,東京メトロ日比谷線,78936
日比谷駅,都営地下鉄三田線,78164
早稲田駅,東京メトロ東西線,77731
東日本橋駅,都営地下鉄浅草線,77514
西新宿駅,東京メトロ丸ノ内線,77390
赤羽岩淵駅,埼玉高速鉄道本線,76794
両国駅,ＪＲ総武本線,75992
外苑前駅,東京メトロ銀座線,75934
千歳烏山駅,京王電鉄京王線,75913
目白駅,ＪＲ山手線,75864
笹塚駅,京王電鉄京王線,75401
石神井公園駅,西武鉄道池袋線,75319
木場駅,東京メトロ東西線,75149
練馬駅,都営地下鉄大江戸線,74506
学芸大学駅,東京急行電鉄東横線,74384
駒沢大学駅,東京急行電鉄田園都市線,73760
東銀座駅,都営地下鉄浅草線,73516
経堂駅,小田急電鉄小田原線,72769
青山一丁目駅,都営地下鉄大江戸線,72684
十条駅,ＪＲ埼京線,71886
竹ノ塚駅,東武鉄道伊勢崎線,71275
中野坂上駅,東京メトロ丸ノ内線,70853
築地駅,東京メトロ日比谷線,70662
茗荷谷駅,東京メトロ丸ノ内線,70584
桜新町駅,東京急行電鉄田園都市線,68794
水天宮前駅,東京メトロ半蔵門線,68752
国際展示場駅,東京臨海高速鉄道臨海副都心線,66900
月島駅,東京メトロ有楽町線,66893
小川町駅,都営地下鉄新宿線,66850
羽田空港駅,東京モノレール,66043
月島駅,都営地下鉄大江戸線,65478
北千住駅,東京メトロ日比谷線,65296
永田町駅,東京メトロ有楽町線,65296
五反田駅,都営地下鉄浅草線,65003
新宿三丁目駅,都営地下鉄新宿線,64277
新橋駅,ゆりかもめ東京臨海新交通臨海線,63973
板橋駅,ＪＲ埼京線,63782
京成高砂駅,北総開発鉄道北総・公団線,63700
西新井駅,東武鉄道伊勢崎線,63669
六本木一丁目駅,東京メトロ南北線,63514
森下駅,都営地下鉄大江戸線,63211
平井駅,ＪＲ総武本線,62956
南砂町駅,東京メトロ東西線,62151
東京テレポート駅,東京臨海高速鉄道臨海副都心線,61900
八丁堀駅,ＪＲ京葉線,61768
新木場駅,東京臨海高速鉄道臨海副都心線,61500
用賀駅,東京急行電鉄田園都市線,61348
池尻大橋駅,東京急行電鉄田園都市線,60758
麹町駅,東京メトロ有楽町線,59871
光が丘駅,都営地下鉄大江戸線,59157
東武練馬駅,東武鉄道東上線,59102
広尾駅,東京メトロ日比谷線,58864
船堀駅,都営地下鉄新宿線,58715
王子駅,東京メトロ南北線,57781
成増駅,東武鉄道東上線,57729
初台駅,京王電鉄京王線,57610
町屋駅,東京メトロ千代田線,57181
浅草橋駅,都営地下鉄浅草線,56949
新宿西口駅,都営地下鉄大江戸線,56005
御茶ノ水駅,東京メトロ丸ノ内線,55540
淡路町駅,東京メトロ丸ノ内線,55155
千歳船橋駅,小田急電鉄小田原線,54885
春日駅,都営地下鉄大江戸線,54748
上野御徒町駅,都営地下鉄大江戸線,54021
信濃町駅,ＪＲ中央本線,53816
浅草駅,東武鉄道伊勢崎線,53190
神田駅,東京メトロ銀座線,53098
京橋駅,東京メトロ銀座線,52460
瑞江駅,都営地下鉄新宿線,52173
本郷三丁目駅,東京メトロ丸ノ内線,51404
武蔵小山駅,東京急行電鉄目黒線,51337
汐留駅,都営地下鉄大江戸線,50717
竹橋駅,東京メトロ東西線,50572
江戸川橋駅,東京メトロ有楽町線,50379
住吉駅,東京メトロ半蔵門線,49893
大久保駅,ＪＲ中央本線,49550
京急蒲田駅,京浜急行本線,49477
大山駅,東武鉄道東上線,49419
浅草駅,都営地下鉄浅草線,49307
上板橋駅,東武鉄道東上線,49284
馬喰町駅,ＪＲ総武本線,49228
清澄白河駅,東京メトロ半蔵門線,49190
鶯谷駅,ＪＲ東北本線,48962
人形町駅,都営地下鉄浅草線,48593
地下鉄成増駅,東京メトロ有楽町線,47857
地下鉄成増駅,東京メトロ副都心線,47857
大岡山駅,東京急行電鉄大井町線,47298
大岡山駅,東京急行電鉄目黒線,47298
白山駅,都営地下鉄三田線,47278
都立大学駅,東京急行電鉄東横線,47039
ときわ台駅,東武鉄道東上線,46664
新宿御苑前駅,東京メトロ丸ノ内線,46562
祖師ケ谷大蔵駅,小田急電鉄小田原線,46510
青砥駅,京成電鉄本線,46501
平和島駅,京浜急行本線,46402
岩本町駅,都営地下鉄新宿線,46296
麻布十番駅,東京メトロ南北線,45928
新御徒町駅,都営地下鉄大江戸線,45195
水道橋駅,都営地下鉄三田線,44540
四谷三丁目駅,東京メトロ丸ノ内線,44353
東十条駅,ＪＲ東北本線,44280
下高井戸駅,京王電鉄京王線,44039
都庁前駅,都営地下鉄大江戸線,43750
高井戸駅,京王電鉄井の頭線,43519
京成上野駅,京成電鉄本線,43363
品川シーサイド駅,東京臨海高速鉄道りんかい線,43200
西馬込駅,都営地下鉄浅草線,43086
日暮里駅,日暮里・舎人ライナー,42710
上石神井駅,西武鉄道新宿線,42451
青物横丁駅,京浜急行本線,42243
浮間舟渡駅,ＪＲ埼京線,42062
仲御徒町駅,東京メトロ日比谷線,41686
御成門駅,都営地下鉄三田線,41507
千駄ケ谷駅,ＪＲ中央本線,40888
八幡山駅,京王電鉄京王線,40711
平和台駅,東京メトロ有楽町線,40304
一之江駅,都営地下鉄新宿線,40085
住吉駅,都営地下鉄新宿線,40063
白金高輪駅,東京メトロ南北線,40020
内幸町駅,都営地下鉄三田線,39977
乃木坂駅,東京メトロ千代田線,39935
神楽坂駅,東京メトロ東西線,39466
護国寺駅,東京メトロ有楽町線,39052
駒場東大前駅,京王電鉄井の頭線,38878
中村橋駅,西武鉄道池袋線,38736
新富町駅,東京メトロ有楽町線,38517
久我山駅,京王電鉄井の頭線,38428
旗の台駅,東京急行電鉄大井町線,38079
旗の台駅,東京急行電鉄池上線,38079
東池袋駅,東京メトロ有楽町線,37966
下丸子駅,東京急行電鉄多摩川線,37857
氷川台駅,東京メトロ有楽町線,37700
中野坂上駅,都営地下鉄大江戸線,37653
小伝馬町駅,東京メトロ日比谷線,37571
駒込駅,東京メトロ南北線,37443
清澄白河駅,都営地下鉄大江戸線,37054
要町駅,東京メトロ有楽町線,36955
桜上水駅,京王電鉄京王線,36875
国会議事堂前駅,東京メトロ丸ノ内線,36861
三ノ輪駅,東京メトロ日比谷線,36553
麻布十番駅,都営地下鉄大江戸線,36323
京成立石駅,京成電鉄押上線,36317
篠崎駅,都営地下鉄新宿線,36238
赤羽橋駅,都営地下鉄大江戸線,36187
新日本橋駅,ＪＲ総武本線,36102
曙橋駅,都営地下鉄新宿線,35845
田園調布駅,東京急行電鉄東横線,35839
田園調布駅,東京急行電鉄目黒線,35839
千川駅,東京メトロ有楽町線,35531
西小山駅,東京急行電鉄目黒線,35397
代々木駅,都営地下鉄大江戸線,35389
銀座一丁目駅,東京メトロ有楽町線,35170
北赤羽駅,ＪＲ埼京線,35114
東新宿駅,都営地下鉄大江戸線,34887
東新宿駅,東京メトロ副都心線,34871
明大前駅,京王電鉄井の頭線,34865
新高円寺駅,東京メトロ丸ノ内線,34819
五反野駅,東武鉄道伊勢崎線,34695
蔵前駅,都営地下鉄浅草線,34667
新御徒町駅,つくばエクスプレス,34300
池上駅,東京急行電鉄池上線,34252
地下鉄赤塚駅,東京メトロ有楽町線,34129
地下鉄赤塚駅,東京メトロ副都心線,34129
王子神谷駅,東京メトロ南北線,33949
方南町駅,東京メトロ丸ノ内線,33904
天王洲アイル駅,東京臨海高速鉄道臨海副都心線,33900
西早稲田駅,東京メトロ副都心線,33732
東高円寺駅,東京メトロ丸ノ内線,33480
湯島駅,東京メトロ千代田線,33315
二重橋前駅,東京メトロ千代田線,33308
江古田駅,西武鉄道池袋線,33045
新中野駅,東京メトロ丸ノ内線,33026
南千住駅,ＪＲ常磐線,31980
喜多見駅,小田急電鉄小田原線,31963
板橋区役所前駅,都営地下鉄三田線,31799
板橋本町駅,都営地下鉄三田線,31773
千石駅,都営地下鉄三田線,31543
志村三丁目駅,都営地下鉄三田線,31511
梅ケ丘駅,小田急電鉄小田原線,31444
永福町駅,京王電鉄井の頭線,31262
東大島駅,都営地下鉄新宿線,31259
幡ケ谷駅,京王電鉄京王線,31229
蔵前駅,都営地下鉄大江戸線,31142
お花茶屋駅,京成電鉄本線,31141
梅島駅,東武鉄道伊勢崎線,31068
綾瀬駅,ＪＲ常磐線,31026
西大井駅,ＪＲ横須賀線,30966
若松河田駅,都営地下鉄大江戸線,30445
飯田橋駅,都営地下鉄大江戸線,30360
西新宿五丁目駅,都営地下鉄大江戸線,30220
代官山駅,東京急行電鉄東横線,30171
大島駅,都営地下鉄新宿線,30032
鷺ノ宮駅,西武鉄道新宿線,29927
入谷駅,東京メトロ日比谷線,29891
雑色駅,京浜急行本線,29781
祐天寺駅,東京急行電鉄東横線,29742
両国駅,都営地下鉄大江戸線,29556
三軒茶屋駅,東京急行電鉄世田谷線,29351
浜田山駅,京王電鉄井の頭線,29236
田原町駅,東京メトロ銀座線,29170
尾山台駅,東京急行電鉄大井町線,29126
高島平駅,都営地下鉄三田線,29075
不動前駅,東京急行電鉄目黒線,28909
芝公園駅,都営地下鉄三田線,28850
中延駅,都営地下鉄浅草線,28819
武蔵関駅,西武鉄道新宿線,28792
辰巳駅,東京メトロ有楽町線,28702
志村坂上駅,都営地下鉄三田線,28687
等々力駅,東京急行電鉄大井町線,28562
大鳥居駅,京浜急行空港線,27897
新板橋駅,都営地下鉄三田線,27844
